mu_0,mu_1,pattern
-0.4238385731969483,-0.045051488711279064,"(0, 0, 0, 0, 0)"
0.10730295344606489,0.07088609005984368,"(0, 0, 0, 0, 1)"
0.7281104585564574,-0.331187826789344,"(0, 0, 0, 1, 0)"
1.3667121142186371,0.29724124932034107,"(0, 0, 0, 1, 1)"
0.3097434525008314,-0.17710938958935624,"(0, 0, 1, 0, 0)"
-0.8386466463766015,-0.7059111613808272,"(0, 0, 1, 0, 1)"
0.021475977231971224,-0.2312206393054512,"(0, 0, 1, 1, 0)"
0.6469900554508776,0.2088392769691346,"(0, 0, 1, 1, 1)"
-1.193889131754445,0.4952233484206897,"(0, 1, 0, 0, 0)"
1.2258893975698621,-1.1755101518807856,"(0, 1, 0, 0, 1)"
0.33678689529837225,0.24041285491704179,"(0, 1, 0, 1, 0)"
-0.43088116597019815,0.05918401113721464,"(0, 1, 0, 1, 1)"
1.222684071698859,-0.9808790230565974,"(0, 1, 1, 0, 0)"
1.208874266596712,-0.001216199398262565,"(0, 1, 1, 0, 1)"
0.6117460628167389,-1.3335595735831263,"(0, 1, 1, 1, 0)"
-0.9940509181647468,-0.6588562223159524,"(0, 1, 1, 1, 1)"
1.0995654295298467,0.26408914873275596,"(1, 0, 0, 0, 0)"
0.4558418279750006,-0.0728554408464841,"(1, 0, 0, 0, 1)"
0.7006691875328251,0.23205948238123053,"(1, 0, 0, 1, 0)"
1.134524457627918,-0.6399461777626364,"(1, 0, 0, 1, 1)"
-0.2908431518392405,-1.0056294664946515,"(1, 0, 1, 0, 0)"
0.4008375771449206,0.09852131322327322,"(1, 0, 1, 0, 1)"
-0.1711812188637696,0.36971228548846496,"(1, 0, 1, 1, 0)"
1.1963663544414196,0.7244228511087584,"(1, 0, 1, 1, 1)"
-0.5635144092090782,-0.6272854861764845,"(1, 1, 0, 0, 0)"
0.03864689430834917,0.5453372535094131,"(1, 1, 0, 0, 1)"
0.7358688281971041,-0.5565240859440317,"(1, 1, 0, 1, 0)"
-1.0752703479835362,0.6670537493217987,"(1, 1, 0, 1, 1)"
0.17114815229021987,0.6452378650798084,"(1, 1, 1, 0, 0)"
0.5384500203804276,-1.6462553107505233,"(1, 1, 1, 0, 1)"
-0.5966915761773464,0.05294057855341801,"(1, 1, 1, 1, 0)"
-0.34057224194558394,-1.728820971537991,"(1, 1, 1, 1, 1)"
